A word by itself is easy to guess.,Uma palavra por si só é fácil de adivinhar.,
A4,A4,
ALL,Tudo,
API,API,
API Access,Acesso API,
API Endpoint,API Endpoint,
API Endpoint Args,API Endpoint Args,
API Key,Chave da API,
API Method,Método API,
API Secret,Segredo da API,
ASC,ASC,
About Us Settings,Configurações do Quem Somos,
About Us Team Member,Sobre Nós - Membros da Equipe,
About {0} minute remaining,Cerca de {0} minuto restante,
About {0} minutes remaining,Cerca de {0} minutos restantes,
About {0} seconds remaining,Cerca de {0} segundos restantes,
Access Key ID,ID da chave de acesso,
Access Key Secret,Segredo da chave de acesso,
Access Log,Log de acesso,
Access Token,Token de Acesso,
Access Token URL,URL do Token de Acesso,
Access not allowed from this IP Address,Acesso não permitido deste endereço IP,
Account,Conta,
Accounts Manager,Gerente de Contas,
Accounts User,Usuário de Contas,
Action,Ação,
Action / Route,Ação / Rota,
Action Failed,A Ação Falhou,
Action Timeout (Seconds),Tempo Limite de Ação (Segundos),
Action Type,Tipo de acão,
Actions,Ações,
Active,Ativo,
Active Domains,Domínios ativos,
Active Sessions,Sessões ativas,
Activity,Atividade,
Activity Log,Log de Atividade,
Add,Adicionar,
Add / Remove Columns,Adicionar / Remover Colunas,
Add / Update,Adicionar / Atualizar,
Add A New Rule,Adicionar uma Nova Regra,
Add Attachment,Anexar,
Add Chart to Dashboard,Adicionar gráfico ao Dashboard,
Add Child,Adicionar Sub-item,
Add Column,Adicionar Coluna,
Add Contact,Adicionar contato,
Add Contacts,Adicionar contatos,
Add Container,Adicionar recipiente,
Add Custom Tags,Adicionar tags personalizadas,
Add Filters,Adicionar Filtros,
Add Gray Background,Adicionar fundo cinza,
Add Group,Adicionar grupo,
Add Multiple,Adicionar Múltiplos,
Add New Permission Rule,Adicionar Nova Regra de Permissão,
Add Participants,Adicione participantes,
Add Review,Adicione uma avaliação,
Add Row,Adicionar Linha,
Add Signature,Adicionar Assinatura,
Add Subscribers,Adicionar Inscritos,
Add Total Row,Adicionar Linha de Total,
Add Unsubscribe Link,Adicionar link para cancelar inscrição,
Add User Permissions,Adicionar permissões do usuário,
Add a Filter,Adicionar Filtro,
Add a New Role,Adicionar uma Nova Função,
Add a comment,Adicionar um comentário,
Add a new section,Adicione uma nova seção,
Add a {0} Chart,Adicionar um {0} gráfico,
Add column,Adicionar column,
Add script for Child Table,Adicionar script para tabela filho,
Add to Dashboard,Adicionar ao Dashboard,
Add to ToDo,Adicionar ao ToDo,
Add to table,Adicionar à mesa,
Add to this activity by mailing to {0},Adicione a esta atividade enviando para {0},
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","HTML adicionado na seção &lt;head&gt; da página web, principalmente utilizadas para a verificação do site e SEO",
Added {0} ({1}),Adicionado {0} ({1}),
Additional Permissions,Permissões Adicionais,
Address,Endereço,
Address Line 1,Endereço,
Address Line 2,Complemento,
Address Template,Modelo de Endereço,
Address Title,Título do Endereço,
Address Title is mandatory.,Titulo do Endereço é obrigatório.,
Address Type,Tipo de Endereço,
Address and other legal information you may want to put in the footer.,Endereço e outras informações legais que você pode querer colocar no rodapé.,
Addresses,Endereços,
Addresses And Contacts,Endereços e Contatos,
Adds a custom field to a DocType,Adiciona um campo personalizado para um Tipo de Documento (DocType),
Administration,Administração,
Administrator,Administrador,
Administrator Logged In,Administrador logou-se,
Administrator accessed {0} on {1} via IP Address {2}.,Administrador acessada {0} em {1} através do endereço IP {2}.,
Advanced,Avançado,
Advanced Control,Controle Avançado,
Advanced Search,Pesquisa Avançada,
Advanced Settings,Configurações avançadas,
After Cancel,Após Cancelar,
After Delete,Após Excluir,
After Save,Após salvar,
After Save (Submitted Document),Após salvar (documento enviado),
After Submit,Após o envio,
Aggregate Function Based On,Função agregada com base em,
Aggregate Function field is required to create a dashboard chart,O campo Função Agregada é necessário para criar um gráfico de dashboard,
Alert,Alerta,
Align Labels to the Right,Alinhar etiquetas à direita,
Align Right,Alinhar à direita,
Align Value,Alinhar Valor,
All,Todos,
All Day,Dia Inteiro,
All Images attached to Website Slideshow should be public,Todas as imagens anexadas à apresentação de slides do site devem ser públicas,
All Records,Todos os registros,
All Time,Tempo todo,
All customizations will be removed. Please confirm.,Todas as personalizações serão removidos. Por favor confirme.,
All-uppercase is almost as easy to guess as all-lowercase.,Tudo em maiúsculas é quase tão fácil de adivinhar como tudo em minúsculas.,
Allocated To,Atribuído a,
Allot Points To Assigned Users,Atribuir pontos aos usuários atribuídos,
Allow,Permitir,
Allow API Indexing Access,Permitir acesso de indexação de API,
Allow Auto Repeat,Permitir repetição automática,
Allow Bulk Edit,Permitir edição em massa,
Allow Bulk Editing,Permitir edição em massa,
Allow Comments,Permitir Comentários,
Allow Consecutive Login Attempts ,Permitir tentativas de login consecutivas,
Allow Delete,Permitir Excluir,
Allow Dropbox Access,Permitir Acesso Dropbox,
Allow Google Calendar Access,Permitir acesso ao Google Agenda,
Allow Google Contacts Access,Permitir acesso aos Contatos do Google,
Allow Google Drive Access,Permitir acesso ao Google Drive,
Allow Guest,Permitir convidado,
Allow Guest to View,Permitir visualização de convidado,
Allow Guests to Upload Files,Permitir que os convidados façam upload de arquivos,
Allow Import (via Data Import Tool),Permitir Importação (via Data Import Tool),
Allow Incomplete Forms,Permitir Formulários Incompletos,
Allow Login After Fail,Permitir login após falha,
Allow Login using Mobile Number,Permitir login usando o número de celular,
Allow Login using User Name,Permitir Login usando o nome de usuário,
Allow Modules,Permitir Módulos,
Allow Print,Permitir Impressão,
Allow Print for Cancelled,Permitir impressão para cancelado,
Allow Print for Draft,Permitir impressão para rascunho,
Allow Read On All Link Options,Permitir leitura em todas as opções de link,
Allow Rename,Permitir Renomear,
Allow Roles,Permitir Funções,
Allow Self Approval,Permitir auto-aprovação,
Allow approval for creator of the document,Permitir aprovação para o criador do documento,
Allow document creation via Email,Permitir a criação de documentos por e-mail,
Allow events in timeline,Permitir eventos na linha do tempo,
Allow in Quick Entry,Permitir na entrada rápida,
Allow on Submit,Permitir ao Enviar,
Allow only one session per user,Permitir apenas uma sessão por usuário,
Allow page break inside tables,Permitir quebra de página dentro de tabelas,
Allow saving if mandatory fields are not filled,Permitir salvar se os campos obrigatórios não são preenchidas,
Allow user to login only after this hour (0-24),Permitir que o usuário faça o login somente após este horário (0-24),
Allow user to login only before this hour (0-24),Permitir que o usuário faça o login somente antes deste horário (0-24),
Allowed,Permitido,
Allowed In Mentions,Permitido nas menções,
"Allowing DocType, DocType. Be careful!","Permitindo DocType , DocType . Tenha cuidado !",
Already Registered,Já está registrado,
Already in the following Users ToDo list:{0},Já está na seguinte lista de tarefas de usuários: {0},
Also adding the dependent currency field {0},Adicionando também o campo de moeda dependente {0},
Also adding the status dependency field {0},Incluindo também o campo de dependência do status {0},
"Always add ""Draft"" Heading for printing draft documents","Sempre adicionar ""Rascunho"" no cabeçalho para impressão de documentos não enviados",
Amend,Corrigir,
Amended From,Alterado De,
Amending,A Alterar,Freeze message while amending a document
An error occurred while setting Session Defaults,Ocorreu um erro ao definir os Padrões da Sessão,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Um ícone do arquivo com extensão .ico. Deve ser de 16 x 16 px. Gerado usando um gerador de favicon. [favicon-generator.org],
Analytics,Análise,
Ancestors Of,Antepassados De,
Annual,Anual,
Another transaction is blocking this one. Please try again in a few seconds.,"Outra transação está bloqueando essa. Por favor, tente novamente em alguns segundos.",
"Another {0} with name {1} exists, select another name","Outra {0} com o nome {1} existe , selecione outro nome",
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Qualquer linguagem de impressora baseada em string pode ser usada. Escrever comandos simples requer conhecimento da linguagem nativa da impressora fornecida pelo fabricante da impressora. Por favor, consulte o manual do desenvolvedor fornecido pelo fabricante da impressora sobre como escrever seus comandos nativos. Esses comandos são processados no lado do servidor usando o Jinja Templating Language.",
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.","Além de System Manager, as funções com o conjunto de permissões certas pode definir permissões para outros usuários para esse tipo de documento.",
App,Aplicativo,
App Access Key,App Chave de Acesso,
App Client ID,App Cliente ID,
App Client Secret,App Cliente secreto,
App Name,Nome do App,
App Secret Key,App chave secreta,
App {0} is not installed,App {0} não está instalado,
Append Emails to Sent Folder,Anexar emails à pasta enviada,
Append To,Acrescente Para,
Append To can be one of {0},Para anexar pode ser um dos {0},
Applicable Document Types,Tipos de documentos aplicáveis,
Applicable For,Aplicável Para,
Application Logo,Logo do aplicativo,
Application Name,Nome da Aplicação,
Application Version,Versão do aplicativo,
Applied On,Aplicado em,
Apply,Aplicar,
Apply Assignment Rule,Aplicar regra de atribuição,Button in list view actions menu
Apply Document Permissions,Aplicar permissões de documento,
Apply Filters,Aplicar Filtro(s),
Apply Only Once,Aplicar apenas uma vez,
Apply Strict User Permissions,Aplicar permissões de usuário estrito,
Apply To All Document Types,Aplicar a todos os tipos de documentos,
Apply this rule if the User is the Owner,Aplicar esta regra se o usuário é o proprietário,
Apply this rule only once per document,Aplique esta regra apenas uma vez por documento,
Apply to all Documents Types,Aplicar a todos os tipos de documentos,
Applying: {0},Aplicando: {0},
Appreciate,Apreciar,
Appreciation,Apreciação,
Approval Required,Aprovação necessária,
Apps,Aplicativos,
Archive,Arquivar,
Archived,Arquivada,
Archived Columns,Colunas Arquivadas,
Are you sure you want to delete all rows?,Tem certeza de que deseja excluir todas as linhas?,
Are you sure you want to delete the attachment?,Tem certeza de que deseja excluir o anexo?,
Are you sure you want to generate a new report?,Tem certeza de que deseja gerar um novo relatório?,
Are you sure you want to merge {0} with {1}?,Tem certeza de que deseja mesclar {0} com {1}?,
Are you sure you want to relink this communication to {0}?,Você tem certeza que deseja relinkar a comunicação para {0}?,
Are you sure you want to reset all customizations?,Tem certeza de que deseja redefinir todas as personalizações?,
Are you sure you want to save this document?,Tem certeza que deseja salvar este documento?,
Are you sure?,Você tem certeza?,
Arial,Arial,
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","Como uma prática recomendada , não atribua o mesmo conjunto de regras de permissão para diferentes funções. Em vez disso, definir várias funções para o mesmo usuário.",
Assign Condition,Atribuir condição,
Assign To,Atribuir a,
Assign To User Group,Atribuir ao grupo de usuários,
Assign To Users,Atribuir aos usuários,
Assign a user,Atribuir um usuário,
"Assign one by one, in sequence","Atribuir um por um, em seqüência",
Assign to me,Atribuir para mim,
Assign to the one who has the least assignments,Atribuir a quem tem menos atribuições,
Assign to the user set in this field,Atribuir ao usuário definido neste campo,
Assigned,Atribuído,
Assigned By,Atribuído por,
Assigned By Full Name,Atribuído por Nome completo,
Assigned To,Atribuído a,
Assigned To/Owner,Atribuído a / Proprietário,
Assignment,Tarefa,
Assignment Completed,Atribuição Concluída,
Assignment Days,Dias de atribuição,
Assignment Rule,Regra de Atribuição,
Assignment Rule Day,Dia da regra de atribuição,
Assignment Rule User,Usuário da regra de atribuição,
Assignment Rules,Regras de Atribuição,
Assignment Update on {0},Atualização de atribuição em {0},
Assignment for {0} {1},Atribuição para {0} {1},
Assignment of {0} removed by {1},Atribuição de {0} removida por {1},
Assignments,atribuições,
Atleast one field of Parent Document Type is mandatory,Pelo menos um campo do tipo de documento pai é obrigatório,
Attach,Anexar,
Attach Document Print,Anexar Cópia do Documento,
Attach Image,Anexar Imagem,
Attach Print,Anexar cópia,
Attach a web link,Anexar um link da web,
Attach files / urls and add in table.,Anexe arquivos / URLs e adicione na tabela.,
Attached File,Arquivo anexo,
Attached To DocType,Anexado ao Doctype,
Attached To Field,Relacionado ao campo,
Attached To Name,Anexado Para Nome,
Attachment,Anexo,
Attachment Limit (MB),Limite de Anexo (MB),
Attachment Link,Link de Anexo,
Attachment Removed,Anexo Removido,
Attachments,Anexos,
Attempting Connection to QZ Tray...,Tentando conexão com a bandeja QZ ...,
Attempting to launch QZ Tray...,Tentativa de lançar o QZ Tray ...,
Auth URL Data,Dados de URL de autenticação,
Authentication,Autenticação,
Authentication Apps you can use are: ,Os aplicativos de autenticação que você pode usar são:,
Authentication failed while receiving emails from Email Account: {0}.,Falha na autenticação ao receber e-mails da conta de e-mail: {0}.,
Author,Autor,
Authorization Code,Código de autorização,
Authorize API Indexing  Access,Autorizar acesso de indexação de API,
Authorize Google Calendar Access,Autorizar acesso ao Google Agenda,
Authorize Google Contacts Access,Autorizar o acesso dos Contatos do Google,
Authorize Google Drive Access,Autorizar acesso ao Google Drive,
Authorize URL,Autorizar URL,
Authorized,Autorizado,
Auto,Auto,
Auto Email Report,Relatório por Email Automático,
Auto Name,Nome Automático,
Auto Repeat,Repetição Automática,
Auto Repeat Document Creation Failed,Falha na criação de documentos de repetição automática,
Auto Repeat created for this document,Repetição automática criada para este documento,
Auto Repeat failed for {0},A repetição automática falhou para {0},
Auto Reply Message,Resposta Automática,
Auto assignment failed: {0},Atribuição automática falhou: {0},
Automatic Linking can be activated only for one Email Account.,O link automático pode ser ativado apenas para uma conta de e-mail.,
Automatic Linking can be activated only if Incoming is enabled.,O Link automático só pode ser ativado se a Entrada estiver ativada.,
Automatically Assign Documents to Users,Atribuir documentos automaticamente aos usuários,
Automation,Automação,
Avatar,Avatar,
Average,Média,
Average of {0},Média de {0},
Avoid dates and years that are associated with you.,Evite datas e anos associados a você.,
Avoid recent years.,Evite anos recentes.,
Avoid sequences like abc or 6543 as they are easy to guess,"Evite sequências como abc ou 6543, pois são fáceis de adivinhar",
Avoid years that are associated with you.,Evite anos associados a você.,
Awaiting Password,Aguardando Senha,
Awaiting password,Aguardando Senha,
BCC,CCO,
Back,Voltar,
Back to Desk,De volta à mesa,
Back to Home,Retornar ao Início,
Back to Login,Voltar para Login,
Background Color,Cor de Fundo,
Background Jobs,Tarefas em Segundo Plano,
Background Workers,Trabalhadores em Segundo Plano,
Backing up to Google Drive.,Fazendo backup no Google Drive.,
Backup Details,Detalhes de backup,
Backup Files,Arquivos de backup,
Backup Folder ID,ID da pasta de backup,
Backup Folder Name,Nome da pasta de backup,
Backup Frequency,Frequência de Backup,
Backup job is already queued. You will receive an email with the download link,O trabalho de backup já está em fila. Você receberá um e-mail com o link de download,
Backup public and private files along with the database.,Faça backup de arquivos públicos e privados junto com o banco de dados.,
Backups,Backups,
Banner,Faixa,
Banner HTML,Faixa HTML,
Banner Image,Imagem do Banner,
Banner is above the Top Menu Bar.,A faixa está acima da barra de menu superior.,
Bar,Barra,
Barcode,Código de barras,
Base Distinguished Name (DN),Base de dados de nome distinto (DN),
Base URL,URL Base,
Based On,Baseado em,
Based on Field,Com base no campo,
Based on Permissions For User,Com base em permissões para o usuário,
Basic,Básico,
Basic Info,Informações básicas,
Before Cancel,Antes de Cancelar,
Before Delete,Antes de excluir,
Before Insert,Antes da inserção,
Before Save,Antes de salvar,
Before Save (Submitted Document),Antes de salvar (documento enviado),
Before Submit,Antes de enviar,
Beginner,Principiante,
Beginning with,Começando com,
Beta,Beta,
Better add a few more letters or another word,Recomenda-se adicionar mais algumas letras ou colocar uma palavra adicional,
Between,Entre,
Billing,Faturamento,
Bio,Bio,
Birth Date,Data de nascimento,
Blank Template,Modelo em branco,
Block Module,Módulo Bloco,
Block Modules,Bloquear Módulos,
Blocked,Bloqueado,
Blog,Blog,
Blog Category,Categoria do Blog,
Blog Intro,Introdução do Blog,
Blog Introduction,Introdução do Blog,
Blog Post,Mensagem do Blog,
Blog Settings,Configurações do Blog,
Blog Title,Título do Blog,
Blogger,Blogueiro,
Blue,Azul,
Bold,Negrito,
Bot,Bot,
Both DocType and Name required,Ambos DocType e Nome é obrigatório,
Both login and password required,Login e senha necessários,
Bottom,Inferior,
Bounced,Bounced,
Brand,Marca,
Brand HTML,Marca HTML,
Brand Image,Imagem da Marca,
Breadcrumbs,Breadcrumbs,
Browser,Navegador,
Browser Version,Versão do navegador,
Browser not supported,Navegador não suportado,
Brute Force Security,Segurança da força bruta,
Bucket Name,Nome do intervalo,
Bulk Actions,Ações em massa,
Bulk Delete,Excluir em massa,
Bulk Edit,Bulk Editar,
Bulk Edit {0},Edição em Massa {0},
Bulk Operation Successful,Operação em massa bem-sucedida,
Bulk Update,Alteração em Massa,
Button,Botão,
Button Gradients,Gradientes de botão,
Button Rounded Corners,Botão Cantos Arredondados,
Button Shadows,Sombras de botão,
"By default the title is used as meta title, adding a value here will override it.","Por padrão, o título é usado como meta título, adicionar um valor aqui irá substituí-lo.",
Bypass Restricted IP Address Check If Two Factor Auth Enabled,"Ignorar endereço IP restrito, verificar se a autenticação de dois fatores estiver habilitada",
Bypass Two Factor Auth for users who login from restricted IP Address,Bypass Two Factor Auth para usuários que fazem login do endereço IP restrito,
Bypass restricted IP Address check If Two Factor Auth Enabled,Ignorar verificação de endereço IP restrito se dois fatores de autenticação habilitados,
CANCELLED,CANCELADO,
CC,CC,
CSS,CSS,
CSS Class,Classe CSS,
CSV,CSV,
CTA Label,Etiqueta CTA,
CTA URL,URL CTA,
Cache Cleared,Cache Limpo,
Calculate,Calcular,
Calendar,Calendário,
Calendar Name,Nome do calendário,
Calendar View,Vista Calendário,
Call,Chamada Telefônica,
Call To Action,Apelo à ação,
Call To Action URL,URL de apelo à ação,
Callback Message,Mensagem de retorno,
Callback Title,Título de retorno,
Camera,câmera,
Campaign,Campanha,
Can Read,Pode Ler,
Can Share,Pode Compartilhar,
Can Write,Pode Escrever,
Cancel,Cancelar,
Cancel All Documents,Cancelar todos os documentos,
Cancel {0} documents?,Cancelar {0} documentos?,Title of confirmation dialog
Cancelled,Cancelado,
Cancelled Document restored as Draft,Documento Cancelado restaurado como Rascunho,
Cancelling,A Cancelar,Freeze message while cancelling a document
Cancelling documents,Cancelando documentos,
Cancelling {0},Cancelando {0},
Cannot Remove,Não é Possível Remover,
Cannot cancel before submitting. See Transition {0},Não pode cancelar antes de enviar.,
Cannot change state of Cancelled Document. Transition row {0},Não é possível alterar o estado de Documento Cancelado .,
Cannot create a {0} against a child document: {1},Não é possível criar um {0} contra um documento filho: {1},
Cannot delete Home and Attachments folders,Não é possível excluir pastas Inicial e Anexos,
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},Não é possível excluir ou cancelar porque {0} {1} está vinculado com {2} {3} {4},
Cannot delete standard action. You can hide it if you want,Não é possível excluir a ação padrão. Você pode esconder se quiser,
Cannot delete standard field. You can hide it if you want,Não é possível excluir campo padrão. Você pode escondê-lo se você quiser,
Cannot delete standard link. You can hide it if you want,Não é possível excluir o link padrão. Você pode esconder se quiser,
Cannot delete {0},Não é possível excluir {0},
Cannot delete {0} as it has child nodes,"Não é possível excluir {0} , pois tem nós filhos",
"Cannot edit Standard Notification. To edit, please disable this and duplicate it","Não é possível editar a notificação padrão. Para editar, desative e duplique",
Cannot edit a standard report. Please duplicate and create a new report,"Não é possível editar um relatório padrão. Por favor, duplique e crie um novo relatório",
Cannot edit cancelled document,Não é possível editar documento cancelado,
Cannot edit filters for standard charts,Não é possível editar filtros para gráficos padrão,
Cannot edit standard fields,Não é possível editar campos padrão,
Cannot have multiple printers mapped to a single print format.,Não é possível ter várias impressoras mapeadas para um único formato de impressão.,
Cannot link cancelled document: {0},Não é possível vincular documento cancelado: {0},
Cannot match column {0} with any field,Não é possível combinar a coluna {0} com nenhum campo,
Cannot move row,Não é possível mover a linha,
Cannot remove ID field,Não é possível remover o campo ID,
Cannot update {0},Não é possível atualizar {0},
Capitalization doesn't help very much.,"A senha não é boa o suficiente, mas será aceita.",
Capture,Capture,
Card,Cartão,
Card Label,Etiqueta do cartão,
Cards,Postais,
Category,Categoria,
Category Description,Descrição da Categoria,
Category Name,Nome da Categoria,
Cent,Centavo,
Center,Centro,
"Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.","Alguns documentos , como uma fatura , não deve ser trocada uma vez final. O estado final de tais documentos é chamado Enviado. Você pode restringir quais funções pode se submeter.",
Chain Integrity,Integridade da Corrente,
Chaining Hash,Chain Hash,
Change,Troco,
Change Label (via Custom Translation),Alterar etiqueta (via tradução personalizada),
Change Password,Alterar Senha,
Change User,Mudar usuário,
Channel,Canal,
Chart,Gráfico,
Chart Configuration,Configuração de Gráfico,
Chart Name,Nome do gráfico,
Chart Options,Opções de gráfico,
Chart Source,Fonte do gráfico,
Chart Type,Tipo de gráfico,
Charts,Gráficos,
Chat,Chat,
Check,Verifica,
Check Request URL,URL de solicitação de verificação,
"Check columns to select, drag to set order.","Verifique colunas para selecionar, arrastar para definir a ordem.",
Check the Error Log for more information: {0},Verifique o log de erros para mais informações: {0},
Check this if you don't want users to sign up for an account on your site. Users won't get desk access unless you explicitly provide it.,Marque esta opção se não quiser que os usuários se inscrevam em uma conta no seu site. Os usuários não terão acesso à mesa a menos que você o forneça explicitamente.,
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Marque esta opção se você deseja forçar o usuário a selecionar uma série antes de salvar. Não haverá nenhum padrão se você marcar isso.,
Checking one moment,"Checando,nto",
"Checking this will enable tracking page views for blogs, web pages, etc.","Marcar isso permitirá o rastreamento de visualizações de páginas de blogs, páginas da web, etc.",
Checking this will hide custom doctypes and reports cards in Links section,Marcar isto irá esconder doctypes personalizados e cartões de relatórios na seção Links,
Checking this will publish the page on your website and it'll be visible to everyone.,Marcar isso publicará a página em seu site e ficará visível para todos.,
Checking this will show a text area where you can write custom javascript that will run on this page.,Marcar isto irá mostrar uma área de texto onde você pode escrever um javascript personalizado que será executado nesta página.,
Checksum Version,Versão Checksum,
Child Tables are shown as a Grid in other DocTypes,Tabelas secundárias são mostradas como uma grade em outros DocTypes,
Choose Existing Card or create New Card,Escolha o cartão existente ou crie um novo cartão,
Choose authentication method to be used by all users,Escolha o método de autenticação a ser usado por todos os usuários,
City,Cidade,
City/Town,Cidade/Município,
Clear,Limpar,
Clear Assignment,Limpar Atribuição,Button in list view actions menu
Clear Cache and Reload,Limpar cache e recarregar,
Clear Error Logs,Limpar Logs de Erro,
Clear Filters,Limpar filtros,
Clear User Permissions,Limpar permissões do usuário,
"Clearing end date, as it cannot be in the past for published pages.","Apagar data de término, como não pode ser no passado para páginas publicadas.",
Click On Customize to add your first widget,Clique em Personalizar para adicionar seu primeiro widget,
Click here to post bugs and suggestions,Clique aqui para enviar erros e sugestões,
Click here to verify,Clique aqui para verificar,
Click on <b>Authorize Google Drive Access</b> to authorize Google Drive Access.,Clique em <b>Autorizar acesso</b> ao Google Drive para autorizar o <b>acesso</b> ao Google Drive.,
Click on a file to select it.,Clique em um arquivo para selecioná-lo.,
Click on the link below to approve the request,Clique no link abaixo para aprovar o pedido,
Click on the link below to complete your registration and set a new password,Clique no link abaixo para completar o seu registo e definir uma nova senha,
Click on the link below to download your data,Clique no link abaixo para baixar seus dados,
Click on the link below to verify your request,Clique no link abaixo para verificar sua solicitação,
Click on {0} to generate Refresh Token.,Clique em {0} para gerar o Token de Atualização.,
Click table to edit,Clique na tabela para editar,
Click to Set Dynamic Filters,Clique para definir filtros dinâmicos,
Click to Set Filters,Clique para definir filtros,
Clicked,Clicado,
Client,Cliente,
Client Code,Código do cliente,
Client Credentials,Credenciais no cliente,
Client ID,ID do Cliente,
Client Information,Informação ao cliente,
Client Script,Script de Cliente,
Client Secret,Segredo do cliente,
Client URLs,URLs do Cliente,
Close,Fechar,
Close Condition,Fechar Condição,
Closed,Fechado,
Code,Código,
Collapse,Colapso,
Collapse All,Recolher todos,
Collapsible,Desmontável,
Collapsible Depends On,Depende dobrável,
Color,Cor,
Column,Coluna,
Column <b>{0}</b> already exist.,Coluna <b>{0}</b> já existe.,
Column Break,Quebra de coluna,
Column Labels:,Rótulos de coluna:,
Column Name,Nome da coluna,
Column Name cannot be empty,Nome da coluna não pode estar em branco,
Column Width,Largura da coluna,
Columns,Colunas,
Columns / Fields,Colunas / Campos,
Columns based on,Colunas baseadas em,
Combination of Grant Type (<code>{0}</code>) and Response Type (<code>{1}</code>) not allowed,Combinação de Tipo de Subsídio ( <code>{0}</code> ) e Tipo de Resposta ( <code>{1}</code> ) não permitido,
Comment,Comentário,
Comment By,Comentário por,
Comment Email,Comentário Email,
Comment Type,Tipo de Comentário,
Comment can only be edited by the owner,O comentário só pode ser editado pelo proprietário,
Comments,Comentários,
Comments and Communications will be associated with this linked document,Comentários e comunicações serão associados com este documento relacionado,
Comments cannot have links or email addresses,Comentários não podem ter links ou endereços de e-mail,
Commit,Comprometer,
Common names and surnames are easy to guess.,Os nomes comuns e sobrenomes são fáceis de adivinhar.,
Communication,Comunicação,
Communication Link,Link de comunicação,
Communication Type,Tipo de comunicação,
Company,Empresa,
Company History,Histórico da Empresa,
Company Introduction,Introdução da Empresa,
Company Name,Nome da Empresa,
Compiled Successfully,Compilado com sucesso,
Complete,Concluído,
Complete By,Finalizar até,
Complete Registration,Registro Completo,
Complete Setup,Instalação Concluída,Finish the setup wizard
Completed,Concluído,
Component,Componente,
Compose Email,Escrever um email,
Condition,Condição,
Conditions,Condições,
Configure Chart,Configurar Gráfico,
Configure Columns,Configurar Colunas,
Confirm,Confirmar,
Confirm New Password,Confirme a nova senha,
Confirm Password,Confirmar Senha,
Confirm Request,Confirmar pedido,
Confirm Your Email,Confirme seu Email,
Confirmation Email Template,Modelo de email de confirmação,
Confirmed,Confirmado,
Connected to QZ Tray!,Conectado ao QZ Tray!,
Connection Success,Sucesso de conexão,
Connection lost. Some features might not work.,Conexão perdida. Alguns recursos podem não funcionar.,
Connections,Conexões,
Console,Console,
Console Log,Log do console,
Contact,Contato,
Contact Details,Detalhes do Contato,
Contact Email,Email de Contato,
Contact Numbers,Números de contato,
Contact Phone,telefone de contato,
